순위,제품명_정규화,최근30일_수량,묶인_원상품명_수
1,옵션선택안함,13763,1
2,CS팀 검수건,3936,1
3,조립신청,1308,1
4,실리콘 손잡이,608,1
5,아기 체중계*,545,1
6,신생아 카시트 포르테360,468,1
7,하이가드 유아침대 아이비 (Ivy)용 범퍼가드,453,1
8,학생의자 웨일체어,435,1
9,노트북거치대(NLS01),429,1
10,아기공룡욕조,382,1
11,하이가드 유아침대 아이비 (Ivy),356,3
12,"통판 1세트(3ea) - 아이비,캠퍼시리즈,헤이하이용",296,3
13,안티 진드기커버 SS(110*200*35),291,1
14,헤이 2단 레일 수납장,287,3
15,캠퍼(Camper) 하이확장키트,283,3
16,펠트도어 부품,252,1
17,마이크로파이버 속통,247,1
18,워싱코튼 누빔 매트리스 커버,233,1
19,톤온톤 책장용 펠트보드,231,1
20,워싱코튼 누빔 매트리스 패드,214,1
21,뉴트럴 플라이우드 데스크,213,3
22,캠퍼(Camper) 미드,212,3
23,기저귀 정리함,191,1
24,듀펜 매트리스 SS(110*200),190,3
25,뉴 독서클립,188,1
26,북디바이더1ea (브라운),174,1
27,메쉬백밤부 시트커버,169,1
28,펠트 카시트패드,167,1
29,하이가드 유아침대 아이비 (Ivy) 펠트도어,167,1
30,플레이 부품,157,3
31,스틴스 쿠키,156,1
32,스타벅스(증정품),153,1
33,와이드 하단 서랍,153,3
34,냉감패드,148,1
35,비타워,146,1
36,LED언더라이트,139,1
37,네티 플러스 (니스툴그로우 2in1 아기침대),116,1
38,스널크 침구 S,115,1
39,유아용 범퍼가드,113,1
40,북_와이어바스켓(보리용),109,1
41,노트북거치대 익스텐드(NLS07),107,1
42,뉴리딩필로우,105,1
43,아기비데,101,1
44,"헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",101,3
45,스프라우트 매트리스,97,3
46,톤온톤 책상장 1200,97,3
47,유아용 안티 진드기커버 TS(68*132*20),95,1
48,유아용 매트리스 워싱 커버,93,1
49,유아용 매트리스 워싱 패드,93,1
50,AS용 스페어 (밤부체어),92,1
