상품명,옵션내용,현재고,미발송수,주문수,주문금액,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3
"자체 통판 1세트(3ea) - 아이비,캠퍼시리즈,헤이하이용",SS,68,283,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,350,901,784,7
자체 하이가드 유아침대 아이비 (Ivy),"SS 2 (통판트레이버전-통판, 사다리 리뉴얼) 소프트화이트/라떼베이지 공용",143,126,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,67,324,437,6
자체 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 소프트화이트",82,82,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64,211,268,5
자체 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 2번-소프트화이트/라떼베이지 공용,73,140,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,141,298,250,1
자체 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리(수납통 4ea) - 화이트/베이지 공용,85,112,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,92,233,192,1
"현대물류용 통판 1세트(3ea) - 아이비,캠퍼시리즈,헤이하이용",SS,43,54,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,161,175,2
자체 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 라떼베이지",60,45,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,113,168,1
뉴트럴 플라이우드 데스크,프레임-오프화이트,424,55,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1094,334,449,404,865,328,319,400,809,289,309,357,528,221,241,339,459,200,3
신생아 카시트 포르테360,화이트,535,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,351,829,1044,1147,1026,7
"에바다용 통판 1세트(3ea) - 아이비,캠퍼시리즈,헤이하이용",SS,19,59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,126,129,0
자체 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 소프트화이트 1번,2,66,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,113,182,141,1
자체 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 라떼베이지 1번,74,72,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,114,106,0
자체 캠퍼(Camper) 하이확장키트,소프트화이트 1번,52,58,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,86,161,124,1
자체 캠퍼(Camper) 하이확장키트,소프트화이트 2번,51,58,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,86,161,126,1
자체 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 소프트화이트,70,54,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,75,139,114,1
현대물류용 하이가드 유아침대 아이비 (Ivy),"SS 2 (통판버전-리뉴얼)-통판,사다리 리뉴얼 소프트화이트/라떼베이지 공용",21,23,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52,88,1
자체 캠퍼(Camper) 하이확장키트,라떼베이지 1번,0,68,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,103,89,0
자체 캠퍼(Camper) 하이확장키트,라떼베이지 2번,0,68,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,102,88,0
자체 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 라떼베이지,10,59,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,98,78,0
현대물류용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 2번-소프트화이트/라떼베이지 공용,15,27,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,49,65,69,1
"자체 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",1번 - 소프트화이트/베이지 공용,147,43,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,95,74,0
에바다용 하이가드 유아침대 아이비 (Ivy),"SS 2 (통판버전-리뉴얼)-통판,사다리 리뉴얼 소프트화이트/라떼베이지 공용",14,21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,44,66,0
북디바이더1ea (브라운),단일상품,1293,177,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5560,3179,2694,4055,9227,4291,4206,5014,9167,6360,4683,5595,8419,3005,3349,4232,5439,1765,1874,1874,3989,1544,1603,1855,3536,1350,1350,1453,2263,805,943,1272,1626,699,12
듀펜 매트리스 SS(110*200),14cm,591,213,,,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,27,54,81,94,104,53,61,51,73,59,55,67,118,183,209,200,418,327,471,623,588,506,3
현대물류용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리(수납통 4ea) - 화이트/베이지 공용,16,24,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,45,60,1
"자체 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",캠퍼용 짧은키트 (2개매칭),2000,80,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,50,140,134,0
"자체 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",2번 - 소프트화이트/베이지 공용,258,40,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,23,72,0
현대물류용 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 소프트화이트",11,12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,58,1
현대물류용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 소프트화이트 1번,3,19,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,42,53,1
현대물류용 캠퍼(Camper) 하이확장키트,소프트화이트 1번,10,18,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,37,48,1
현대물류용 캠퍼(Camper) 하이확장키트,소프트화이트 2번,10,18,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,37,48,1
