상품명,옵션내용,현재고,미발송수,주문수,주문금액,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
"자체 통판 1세트(3ea) - 아이비,캠퍼시리즈,헤이하이용",SS,68,283,,,0,0,0,0,0,0,0,0,0,0,355,1692
자체 하이가드 유아침대 아이비 (Ivy),"SS 2 (통판트레이버전-통판, 사다리 리뉴얼) 소프트화이트/라떼베이지 공용",143,126,,,0,0,0,0,0,0,0,0,0,0,69,767
자체 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 소프트화이트",82,82,,,0,0,0,0,0,0,0,0,0,0,66,484
자체 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 2번-소프트화이트/라떼베이지 공용,73,140,,,0,0,0,0,0,0,0,0,0,0,217,549
자체 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리(수납통 4ea) - 화이트/베이지 공용,85,112,,,0,0,0,0,0,0,0,0,0,0,135,426
"현대물류용 통판 1세트(3ea) - 아이비,캠퍼시리즈,헤이하이용",SS,43,54,,,0,0,0,0,0,0,0,0,0,0,92,338
자체 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 라떼베이지",60,45,,,0,0,0,0,0,0,0,0,0,0,6,282
뉴트럴 플라이우드 데스크,프레임-오프화이트,424,55,,,0,0,0,0,0,0,3,2281,1912,1764,1329,662
신생아 카시트 포르테360,화이트,535,1,,,0,0,0,0,0,0,0,0,0,0,2534,2180
"에바다용 통판 1세트(3ea) - 아이비,캠퍼시리즈,헤이하이용",SS,19,59,,,0,0,0,0,0,0,0,0,0,0,60,255
자체 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 소프트화이트 1번,2,66,,,0,0,0,0,0,0,0,0,0,0,178,324
자체 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 라떼베이지 1번,74,72,,,0,0,0,0,0,0,0,0,0,0,39,220
자체 캠퍼(Camper) 하이확장키트,소프트화이트 1번,52,58,,,0,0,0,0,0,0,0,0,0,0,135,286
자체 캠퍼(Camper) 하이확장키트,소프트화이트 2번,51,58,,,0,0,0,0,0,0,0,0,0,0,135,288
자체 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 소프트화이트,70,54,,,0,0,0,0,0,0,0,0,0,0,118,254
현대물류용 하이가드 유아침대 아이비 (Ivy),"SS 2 (통판버전-리뉴얼)-통판,사다리 리뉴얼 소프트화이트/라떼베이지 공용",21,23,,,0,0,0,0,0,0,0,0,0,0,7,141
자체 캠퍼(Camper) 하이확장키트,라떼베이지 1번,0,68,,,0,0,0,0,0,0,0,0,0,0,17,192
자체 캠퍼(Camper) 하이확장키트,라떼베이지 2번,0,68,,,0,0,0,0,0,0,0,0,0,0,17,190
자체 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 라떼베이지,10,59,,,0,0,0,0,0,0,0,0,0,0,15,176
현대물류용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 2번-소프트화이트/라떼베이지 공용,15,27,,,0,0,0,0,0,0,0,0,0,0,61,135
"자체 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",1번 - 소프트화이트/베이지 공용,147,43,,,0,0,0,0,0,0,0,0,0,0,54,169
에바다용 하이가드 유아침대 아이비 (Ivy),"SS 2 (통판버전-리뉴얼)-통판,사다리 리뉴얼 소프트화이트/라떼베이지 공용",14,21,,,0,0,0,0,0,0,0,0,0,0,8,110
북디바이더1ea (브라운),단일상품,1293,177,,,0,0,0,15488,22738,25805,19005,10952,8991,7689,5283,2337
듀펜 매트리스 SS(110*200),14cm,591,213,,,0,0,7,1,0,0,256,269,254,710,1839,1097
현대물류용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리(수납통 4ea) - 화이트/베이지 공용,16,24,,,0,0,0,0,0,0,0,0,0,0,39,106
"자체 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",캠퍼용 짧은키트 (2개매칭),2000,80,,,0,0,0,0,0,0,0,0,0,0,70,274
"자체 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",2번 - 소프트화이트/베이지 공용,258,40,,,0,0,0,0,0,0,0,0,0,0,37,95
현대물류용 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 소프트화이트",11,12,,,0,0,0,0,0,0,0,0,0,0,6,95
현대물류용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 소프트화이트 1번,3,19,,,0,0,0,0,0,0,0,0,0,0,51,96
현대물류용 캠퍼(Camper) 하이확장키트,소프트화이트 1번,10,18,,,0,0,0,0,0,0,0,0,0,0,40,86
현대물류용 캠퍼(Camper) 하이확장키트,소프트화이트 2번,10,18,,,0,0,0,0,0,0,0,0,0,0,40,86
현대물류용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 소프트화이트,10,18,,,0,0,0,0,0,0,0,0,0,0,35,81
에바다용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 2번-소프트화이트/라떼베이지 공용,7,31,,,0,0,0,0,0,0,0,0,0,0,47,81
에바다용 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 소프트화이트",5,16,,,0,0,0,0,0,0,0,0,0,0,7,71
현대물류용 뉴트럴 플라이우드 데스크,프레임-오프화이트,11,14,,,0,0,0,0,0,0,0,741,616,616,422,180
에바다용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리(수납통 4ea) - 화이트/베이지 공용,0,27,,,0,0,0,0,0,0,0,0,0,0,30,64
자체 스프라우트 매트리스,SS(110*200) - 17cm,174,85,,,0,0,0,0,0,0,0,0,0,0,5,499
에바다용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 소프트화이트 1번,0,16,,,0,0,0,0,0,0,0,0,0,0,38,48
학생의자 웨일체어,화이트,266,0,,,0,0,0,0,0,0,0,0,2,1880,2832,1407
학생의자 웨일체어,실리콘 로고캡,622,0,,,0,0,0,0,0,0,0,0,0,1873,2785,1409
현대물류용 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 라떼베이지",10,11,,,0,0,0,0,0,0,0,0,0,0,1,46
자체 보리침대용 안전가드,헤이하이침대용 하이간살가드,153,14,,,0,0,0,0,0,0,0,0,0,0,0,140
학생의자 웨일체어,발받침,281,0,,,0,0,0,0,0,0,0,0,0,1598,2487,1254
에바다용 캠퍼(Camper) 하이확장키트,소프트화이트 1번,1,13,,,0,0,0,0,0,0,0,0,0,0,36,37
에바다용 캠퍼(Camper) 하이확장키트,소프트화이트 2번,1,13,,,0,0,0,0,0,0,0,0,0,0,36,37
터치 LED 스탠드,단일상품,469,61,,,0,0,0,2053,7451,8962,6303,3572,2914,2537,1823,799
에바다용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 소프트화이트,3,12,,,0,0,0,0,0,0,0,0,0,0,26,35
자체 캠퍼(Camper) 미드,캠퍼SS 미드 수납형 사다리(수납통 3ea) - 화이트/베이지 공용,78,11,,,0,0,0,0,0,0,0,0,0,0,111,63
뉴트럴 플라이우드 데스크,리어탑-오크솔리드원목,255,42,,,0,0,0,0,0,0,0,0,0,857,880,407
노트북거치대(NLS01),실버,2527,12,,,0,0,0,0,0,4466,32749,50640,21933,14233,9149,2949
언더_리어탑바스켓,브라운,610,66,,,4666,6527,5754,6454,7810,8949,6580,3803,3103,2629,1764,808
네티 플러스 (니스툴그로우 2in1 아기침대),소프트화이트&아몬드 (드랍사이드 ver) - 기존 제품 변형,48,21,,,0,0,0,0,0,0,0,0,0,0,0,97
뉴트럴 플라이우드 데스크,상판-오크솔리드원목,150,21,,,0,0,0,0,0,0,0,0,0,120,221,199
스타벅스(증정품),단일상품,275,153,,,1051,1179,835,836,431,247,206,94,99,194,1516,1011
스틴스 쿠키,쿠키,261,161,,,0,0,0,0,2434,7271,6609,3469,2584,1848,1727,1005
하이가드 유아침대 아이비 (Ivy)용 범퍼가드,에어펌프,457,152,,,0,0,0,0,0,0,0,0,0,229,1428,988
하이가드 유아침대 아이비 (Ivy)용 범퍼가드,SS 에어튜브,147,148,,,0,0,0,0,0,0,0,0,0,213,1403,965
하이가드 유아침대 아이비 (Ivy)용 범퍼가드,SS 범퍼가드 (폴리) - 지퍼(신규),187,148,,,0,0,0,0,0,0,0,0,0,0,1009,978
에바다용 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 라떼베이지",9,4,,,0,0,0,0,0,0,0,0,0,0,1,38
오름 하이체어,단일상품,121,2,,,0,0,0,0,0,0,0,0,0,0,566,531
"현대물류용 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",1번 - 소프트화이트/베이지 공용,9,11,,,0,0,0,0,0,0,0,0,0,0,15,39
"현대물류용 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",캠퍼용 짧은키트 (2개매칭),20,24,,,0,0,0,0,0,0,0,0,0,0,16,64
네티 플러스 (니스툴그로우 2in1 아기침대),소프트화이트&아몬드,20,6,,,0,0,0,0,0,0,0,0,0,0,441,186
유아용 매트리스 (70*132),에어플로우 매트리스 (70*132*11),100,36,,,0,0,0,0,0,0,0,0,0,0,0,381
아기 체중계*,DC5H(아기전용),2655,7,,,0,0,0,0,0,0,0,0,0,298,3496,2441
뉴트럴 메쉬백체어,오프화이트,441,78,,,0,0,0,0,0,0,5,3895,3448,3084,2204,1038
현대물류용 듀펜 매트리스 SS(110*200),14cm,36,39,,,0,0,0,0,0,0,88,114,98,216,468,246
에바다용 뉴트럴 플라이우드 데스크,프레임-오프화이트,18,20,,,0,0,0,0,0,0,0,537,573,498,357,111
현대물류용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 라떼베이지 1번,8,8,,,0,0,0,0,0,0,0,0,0,0,10,39
